experiment,scenario_id,city,name,valence,token_count,semantic_transparency,template,swap_order,control_avg_logprob,prevention_avg_logprob,prevention_minus_control
name,S4,Boston,Back Bay,affluent,2,transparent,T1,False,-4.333333333333333,-3.3541666666666665,0.9791666666666665
name,S4,Boston,Back Bay,affluent,2,transparent,T1,True,-5.291666666666667,-2.8958333333333335,2.3958333333333335
name,S4,Boston,Back Bay,affluent,2,transparent,T2,False,-4.270833333333333,-3.3541666666666665,0.9166666666666665
name,S4,Boston,Back Bay,affluent,2,transparent,T2,True,-5.3125,-2.6145833333333335,2.6979166666666665
name,S4,Boston,Beacon Hill,affluent,2,transparent,T1,False,-4.625,-3.1666666666666665,1.4583333333333335
name,S4,Boston,Beacon Hill,affluent,2,transparent,T1,True,-5.270833333333333,-3.0,2.270833333333333
name,S4,Boston,Beacon Hill,affluent,2,transparent,T2,False,-4.479166666666667,-3.3541666666666665,1.1250000000000004
name,S4,Boston,Beacon Hill,affluent,2,transparent,T2,True,-5.333333333333333,-2.8333333333333335,2.4999999999999996
name,S4,Boston,Brookline,affluent,1,semi,T1,False,-4.583333333333333,-3.25,1.333333333333333
name,S4,Boston,Brookline,affluent,1,semi,T1,True,-5.375,-2.8958333333333335,2.4791666666666665
name,S4,Boston,Brookline,affluent,1,semi,T2,False,-4.395833333333333,-3.375,1.020833333333333
name,S4,Boston,Brookline,affluent,1,semi,T2,True,-5.25,-2.75,2.5
name,S4,Boston,Roxbury,under_resourced,1,opaque,T1,False,-4.6875,-3.4583333333333335,1.2291666666666665
name,S4,Boston,Roxbury,under_resourced,1,opaque,T1,True,-5.5,-2.9375,2.5625
name,S4,Boston,Roxbury,under_resourced,1,opaque,T2,False,-4.354166666666667,-3.5416666666666665,0.8125000000000004
name,S4,Boston,Roxbury,under_resourced,1,opaque,T2,True,-5.25,-3.0208333333333335,2.2291666666666665
name,S4,Boston,Dorchester,under_resourced,1,opaque,T1,False,-4.6875,-3.3958333333333335,1.2916666666666665
name,S4,Boston,Dorchester,under_resourced,1,opaque,T1,True,-5.3125,-3.1875,2.125
name,S4,Boston,Dorchester,under_resourced,1,opaque,T2,False,-4.520833333333333,-3.3958333333333335,1.1249999999999996
name,S4,Boston,Dorchester,under_resourced,1,opaque,T2,True,-5.333333333333333,-2.9166666666666665,2.4166666666666665
name,S4,Boston,Chelsea,under_resourced,1,opaque,T1,False,-4.854166666666667,-3.4583333333333335,1.3958333333333335
name,S4,Boston,Chelsea,under_resourced,1,opaque,T1,True,-5.333333333333333,-3.0833333333333335,2.2499999999999996
name,S4,Boston,Chelsea,under_resourced,1,opaque,T2,False,-4.5625,-3.3958333333333335,1.1666666666666665
