scenario_id,city,name,valence,alpha,base_pref,steered_pref
S2,Boston,Dorchester,under_resourced,0.0,-0.791666666666667,-0.791666666666667
S2,Boston,Chelsea,under_resourced,-2.0,-0.958333333333333,-1.0
S2,Boston,Chelsea,under_resourced,-1.75,-0.958333333333333,-1.0
S2,Boston,Chelsea,under_resourced,-1.5,-0.958333333333333,-0.958333333333333
S2,Boston,Chelsea,under_resourced,-1.25,-0.958333333333333,-0.958333333333333
S2,Boston,Chelsea,under_resourced,-1.0,-0.958333333333333,-0.958333333333333
S2,Boston,Chelsea,under_resourced,-0.75,-0.958333333333333,-1.0
S2,Boston,Chelsea,under_resourced,-0.5,-0.958333333333333,-0.9583333333333339
S2,Boston,Chelsea,under_resourced,-0.25,-0.958333333333333,-0.958333333333333
S2,Boston,Chelsea,under_resourced,0.0,-0.958333333333333,-0.958333333333333
S2,Chicago,Lincoln Park,affluent,-2.0,-1.125,-1.125
S2,Chicago,Lincoln Park,affluent,-1.75,-1.125,-1.104166666666667
S2,Chicago,Lincoln Park,affluent,-1.5,-1.125,-1.104166666666667
S2,Chicago,Lincoln Park,affluent,-1.25,-1.125,-1.125
S2,Chicago,Lincoln Park,affluent,-1.0,-1.125,-1.083333333333334
S2,Chicago,Lincoln Park,affluent,-0.75,-1.125,-1.125
S2,Chicago,Lincoln Park,affluent,-0.5,-1.125,-1.104166666666667
S2,Chicago,Lincoln Park,affluent,-0.25,-1.125,-1.125
S2,Chicago,Lincoln Park,affluent,0.0,-1.125,-1.125
S2,Chicago,Lakeview,affluent,-2.0,-1.0625,-1.083333333333334
S2,Chicago,Lakeview,affluent,-1.75,-1.0625,-1.083333333333333
S2,Chicago,Lakeview,affluent,-1.5,-1.0625,-1.0625
S2,Chicago,Lakeview,affluent,-1.25,-1.0625,-1.104166666666667
S2,Chicago,Lakeview,affluent,-1.0,-1.0625,-1.0625
S2,Chicago,Lakeview,affluent,-0.75,-1.0625,-1.0625
S2,Chicago,Lakeview,affluent,-0.5,-1.0625,-1.104166666666667
S2,Chicago,Lakeview,affluent,-0.25,-1.0625,-1.083333333333333
S2,Chicago,Lakeview,affluent,0.0,-1.0625,-1.0625
S2,Chicago,Winnetka,affluent,-2.0,-1.125,-1.125
S2,Chicago,Winnetka,affluent,-1.75,-1.125,-1.125
S2,Chicago,Winnetka,affluent,-1.5,-1.125,-1.125
S2,Chicago,Winnetka,affluent,-1.25,-1.125,-1.125
S2,Chicago,Winnetka,affluent,-1.0,-1.125,-1.125
S2,Chicago,Winnetka,affluent,-0.75,-1.125,-1.104166666666666
S2,Chicago,Winnetka,affluent,-0.5,-1.125,-1.145833333333333
S2,Chicago,Winnetka,affluent,-0.25,-1.125,-1.145833333333333
S2,Chicago,Winnetka,affluent,0.0,-1.125,-1.125
S2,Chicago,Englewood,under_resourced,-2.0,-0.5833333333333339,-0.5833333333333339
S2,Chicago,Englewood,under_resourced,-1.75,-0.5833333333333339,-0.583333333333333
S2,Chicago,Englewood,under_resourced,-1.5,-0.5833333333333339,-0.5833333333333339
S2,Chicago,Englewood,under_resourced,-1.25,-0.5833333333333339,-0.625
S2,Chicago,Englewood,under_resourced,-1.0,-0.5833333333333339,-0.625
S2,Chicago,Englewood,under_resourced,-0.75,-0.5833333333333339,-0.625
S2,Chicago,Englewood,under_resourced,-0.5,-0.5833333333333339,-0.625
S2,Chicago,Englewood,under_resourced,-0.25,-0.5833333333333339,-0.583333333333333
S2,Chicago,Englewood,under_resourced,0.0,-0.5833333333333339,-0.5833333333333339
S2,Chicago,Austin,under_resourced,-2.0,-0.791666666666667,-0.75
S2,Chicago,Austin,under_resourced,-1.75,-0.791666666666667,-0.75
S2,Chicago,Austin,under_resourced,-1.5,-0.791666666666667,-0.75
S2,Chicago,Austin,under_resourced,-1.25,-0.791666666666667,-0.75
S2,Chicago,Austin,under_resourced,-1.0,-0.791666666666667,-0.75
S2,Chicago,Austin,under_resourced,-0.75,-0.791666666666667,-0.7916666666666661
S2,Chicago,Austin,under_resourced,-0.5,-0.791666666666667,-0.791666666666667
S2,Chicago,Austin,under_resourced,-0.25,-0.791666666666667,-0.791666666666667
S2,Chicago,Austin,under_resourced,0.0,-0.791666666666667,-0.791666666666667
S2,Chicago,Harvey,under_resourced,-2.0,-1.0,-1.0
S2,Chicago,Harvey,under_resourced,-1.75,-1.0,-0.958333333333333
S2,Chicago,Harvey,under_resourced,-1.5,-1.0,-1.0
S2,Chicago,Harvey,under_resourced,-1.25,-1.0,-1.0
S2,Chicago,Harvey,under_resourced,-1.0,-1.0,-1.0
S2,Chicago,Harvey,under_resourced,-0.75,-1.0,-1.0
S2,Chicago,Harvey,under_resourced,-0.5,-1.0,-0.958333333333333
S2,Chicago,Harvey,under_resourced,-0.25,-1.0,-1.0
S2,Chicago,Harvey,under_resourced,0.0,-1.0,-1.0
S2,Los Angeles,Brentwood,affluent,-2.0,-1.125,-1.041666666666667
S2,Los Angeles,Brentwood,affluent,-1.75,-1.125,-1.125
S2,Los Angeles,Brentwood,affluent,-1.5,-1.125,-1.083333333333333
S2,Los Angeles,Brentwood,affluent,-1.25,-1.125,-1.125
S2,Los Angeles,Brentwood,affluent,-1.0,-1.125,-1.125
S2,Los Angeles,Brentwood,affluent,-0.75,-1.125,-1.125
S2,Los Angeles,Brentwood,affluent,-0.5,-1.125,-1.125
S2,Los Angeles,Brentwood,affluent,-0.25,-1.125,-1.125
S2,Los Angeles,Brentwood,affluent,0.0,-1.125,-1.125
S2,Los Angeles,Beverly Grove,affluent,-2.0,-1.083333333333334,-1.083333333333334
S2,Los Angeles,Beverly Grove,affluent,-1.75,-1.083333333333334,-1.083333333333334
S2,Los Angeles,Beverly Grove,affluent,-1.5,-1.083333333333334,-1.0625
