scenario_id,city,name,valence,token_count,semantic_transparency,mean_pref,std_pref,delta_from_baseline
S6,Chicago,Lakeview,affluent,1,transparent,3.380208333333333,1.3097275612592953,0.41145833333333304
S6,Chicago,Lincoln Park,affluent,2,transparent,3.2239583333333335,1.3776673412840783,0.2552083333333335
S6,Chicago,Winnetka,affluent,1,opaque,3.572916666666667,1.2902658174305126,0.604166666666667
S6,Los Angeles,Beverly Grove,affluent,2,transparent,3.322916666666667,1.2902658174305137,0.35416666666666696
S6,Los Angeles,Brentwood,affluent,1,semi,3.432291666666667,1.3902120433455334,0.46354166666666696
S6,Los Angeles,Compton,under_resourced,1,opaque,3.333333333333333,0.9989867551859916,0.36458333333333304
S6,Los Angeles,Inglewood,under_resourced,1,semi,3.755208333333334,1.2089767204740334,0.7864583333333339
S6,Los Angeles,Pasadena,affluent,1,opaque,3.796875,1.246334324202453,0.828125
S6,Los Angeles,Watts,under_resourced,1,opaque,3.9791666666666665,0.9395810236483065,1.0104166666666665
S7,Boston,Back Bay,affluent,2,transparent,0.17708333333333315,1.5154967251941105,1.3020833333333326
S7,Boston,Beacon Hill,affluent,2,transparent,0.8697916666666667,1.8713216233602272,1.9947916666666663
S7,Boston,Brookline,affluent,1,semi,1.0572916666666665,1.9443483359184612,2.182291666666666
S7,Boston,Chelsea,under_resourced,1,opaque,0.5468750000000001,1.7164757681074325,1.6718749999999996
S7,Boston,Dorchester,under_resourced,1,opaque,1.0625,1.8545957680753409,2.1874999999999996
S7,Boston,Roxbury,under_resourced,1,opaque,1.3333333333333335,1.924876739680482,2.458333333333333
S7,Chicago,Austin,under_resourced,1,opaque,0.859375,1.8656692989033106,1.9843749999999996
S7,Chicago,Englewood,under_resourced,1,semi,1.3333333333333335,1.900596884801856,2.458333333333333
S7,Chicago,Harvey,under_resourced,1,opaque,0.71875,1.6489948537754078,1.8437499999999996
S7,Chicago,Lakeview,affluent,1,transparent,0.7083333333333334,1.9053864923382824,1.833333333333333
S7,Chicago,Lincoln Park,affluent,2,transparent,0.7239583333333335,1.9307585075176676,1.848958333333333
S7,Chicago,Winnetka,affluent,1,opaque,0.6822916666666666,1.799512456477731,1.807291666666666
S7,Los Angeles,Beverly Grove,affluent,2,transparent,0.5989583333333333,1.7314973416039314,1.7239583333333328
S7,Los Angeles,Brentwood,affluent,1,semi,0.4843749999999998,1.7179080429352096,1.6093749999999993
S7,Los Angeles,Compton,under_resourced,1,opaque,0.5885416666666669,1.499457367127633,1.7135416666666665
S7,Los Angeles,Inglewood,under_resourced,1,semi,0.7291666666666666,1.7134070995793407,1.854166666666666
S7,Los Angeles,Pasadena,affluent,1,opaque,0.7760416666666666,1.8900151105363039,1.901041666666666
S7,Los Angeles,Watts,under_resourced,1,opaque,1.640625,1.81408575267421,2.7656249999999996
S8,Boston,Back Bay,affluent,2,transparent,-1.4479166666666667,0.33355027662563436,1.1249999999999998
