label,layer,site,alpha,base_pref,steered_pref,delta_steer
S5_baseline,22,answer_pos,-0.5,0.04166666666666696,-0.04166666666666696,-0.08333333333333393
S5_baseline,22,answer_pos,0.5,0.04166666666666696,0.25,0.20833333333333304
S5_baseline,22,answer_pos,1.0,0.04166666666666696,0.541666666666667,0.5
S5_baseline,22,answer_pos,2.0,0.04166666666666696,1.083333333333333,1.041666666666666
S5_baseline,22,answer_pos,3.0,0.04166666666666696,0.9791666666666665,0.9374999999999996
S7_baseline,20,answer_pos,-3.0,-1.666666666666666,1.0833333333333333,2.749999999999999
S7_baseline,20,answer_pos,-2.0,-1.666666666666666,-0.29166666666666696,1.3749999999999991
S7_baseline,20,answer_pos,-1.0,-1.666666666666666,-1.604166666666667,0.06249999999999911
S7_baseline,20,answer_pos,-0.5,-1.666666666666666,-1.791666666666666,-0.125
S7_baseline,20,answer_pos,0.5,-1.666666666666666,-1.458333333333333,0.20833333333333304
S7_baseline,20,answer_pos,1.0,-1.666666666666666,-1.291666666666666,0.375
S7_baseline,20,answer_pos,2.0,-1.666666666666666,-0.791666666666667,0.8749999999999991
S7_baseline,20,answer_pos,3.0,-1.666666666666666,-0.4791666666666665,1.1874999999999996
S7_baseline,22,answer_pos,-3.0,-1.666666666666666,1.1614583333333333,2.828124999999999
S7_baseline,22,answer_pos,-2.0,-1.666666666666666,-0.791666666666667,0.8749999999999991
S7_baseline,22,answer_pos,-1.0,-1.666666666666666,-1.75,-0.08333333333333393
S7_baseline,22,answer_pos,-0.5,-1.666666666666666,-1.791666666666666,-0.125
S7_baseline,22,answer_pos,0.5,-1.666666666666666,-1.416666666666666,0.25
S7_baseline,22,answer_pos,1.0,-1.666666666666666,-1.0,0.6666666666666661
S7_baseline,22,answer_pos,2.0,-1.666666666666666,-0.375,1.291666666666666
S7_baseline,22,answer_pos,3.0,-1.666666666666666,-0.14583333333333348,1.5208333333333326
affluent_Back Bay,20,name_first,-3.0,-1.041666666666666,-1.041666666666666,0.0
affluent_Back Bay,20,answer_pos,-3.0,-1.041666666666666,1.1302083333333333,2.171874999999999
affluent_Back Bay,20,name_first,-2.0,-1.041666666666666,-1.041666666666667,-8.881784197001252e-16
affluent_Back Bay,20,answer_pos,-2.0,-1.041666666666666,-0.020833333333333037,1.020833333333333
affluent_Back Bay,20,name_first,-1.0,-1.041666666666666,-1.041666666666666,0.0
affluent_Back Bay,20,answer_pos,-1.0,-1.041666666666666,-1.125,-0.08333333333333393
affluent_Back Bay,20,name_first,-0.5,-1.041666666666666,-1.041666666666666,0.0
affluent_Back Bay,20,answer_pos,-0.5,-1.041666666666666,-1.166666666666666,-0.125
affluent_Back Bay,20,name_first,0.5,-1.041666666666666,-1.083333333333333,-0.04166666666666696
affluent_Back Bay,20,answer_pos,0.5,-1.041666666666666,-0.916666666666667,0.12499999999999911
affluent_Back Bay,20,name_first,1.0,-1.041666666666666,-1.041666666666667,-8.881784197001252e-16
affluent_Back Bay,20,answer_pos,1.0,-1.041666666666666,-0.8333333333333339,0.20833333333333215
affluent_Back Bay,20,name_first,2.0,-1.041666666666666,-1.041666666666667,-8.881784197001252e-16
affluent_Back Bay,20,answer_pos,2.0,-1.041666666666666,-0.45833333333333304,0.583333333333333
affluent_Back Bay,20,name_first,3.0,-1.041666666666666,-1.083333333333333,-0.04166666666666696
affluent_Back Bay,20,answer_pos,3.0,-1.041666666666666,-0.22916666666666652,0.8124999999999996
affluent_Back Bay,22,name_first,-3.0,-1.041666666666666,-1.0,0.041666666666666075
affluent_Back Bay,22,answer_pos,-3.0,-1.041666666666666,1.2864583333333333,2.328124999999999
affluent_Back Bay,22,name_first,-2.0,-1.041666666666666,-1.041666666666667,-8.881784197001252e-16
affluent_Back Bay,22,answer_pos,-2.0,-1.041666666666666,-0.3541666666666661,0.6875
affluent_Back Bay,22,name_first,-1.0,-1.041666666666666,-1.041666666666666,0.0
affluent_Back Bay,22,answer_pos,-1.0,-1.041666666666666,-1.125,-0.08333333333333393
affluent_Back Bay,22,name_first,-0.5,-1.041666666666666,-1.083333333333333,-0.04166666666666696
affluent_Back Bay,22,answer_pos,-0.5,-1.041666666666666,-1.208333333333333,-0.16666666666666696
affluent_Back Bay,22,name_first,0.5,-1.041666666666666,-1.083333333333333,-0.04166666666666696
affluent_Back Bay,22,answer_pos,0.5,-1.041666666666666,-0.791666666666667,0.2499999999999991
affluent_Back Bay,22,name_first,1.0,-1.041666666666666,-1.083333333333333,-0.04166666666666696
affluent_Back Bay,22,answer_pos,1.0,-1.041666666666666,-0.5416666666666661,0.5
affluent_Back Bay,22,name_first,2.0,-1.041666666666666,-1.083333333333333,-0.04166666666666696
